# (Kp, Ki, Kd, alpha) = (0.7, 0.11666666666666667, 1.0, 0)
#  Sacamos el alpha, barremos sólo el Ki
#  tiempo, setpoint, pwm, error
1.164140343666076660e+01,3.000000000000000000e+02,1.425430089433988030e+02,-5.000000000000000000e+00
1.170582222938537598e+01,3.000000000000000000e+02,1.425054313143094475e+02,-5.000000000000000000e+00
1.176939439773559570e+01,3.000000000000000000e+02,1.424683475494384766e+02,-5.000000000000000000e+00
1.183346104621887207e+01,3.000000000000000000e+02,1.424309753378232415e+02,-5.000000000000000000e+00
1.189697933197021484e+01,3.000000000000000000e+02,1.423939230044682915e+02,-5.000000000000000000e+00
1.196158766746520996e+01,3.000000000000000000e+02,1.585416514605502982e+02,-4.000000000000000000e+00
1.202535009384155273e+01,3.000000000000000000e+02,1.430340166489283149e+02,-4.000000000000000000e+00
1.212160110473632812e+01,3.000000000000000000e+02,1.429890995105107550e+02,-4.000000000000000000e+00
1.218556165695190430e+01,3.000000000000000000e+02,1.429592512528101622e+02,-4.000000000000000000e+00
1.224931979179382324e+01,3.000000000000000000e+02,1.593212090180487053e+02,-3.000000000000000000e+00
1.231380963325500488e+01,3.000000000000000000e+02,1.274005224829337379e+02,-4.000000000000000000e+00
1.237736773490905762e+01,3.000000000000000000e+02,1.757592812810452472e+02,-2.000000000000000000e+00
1.244095158576965332e+01,3.000000000000000000e+02,1.278424922103345978e+02,-3.000000000000000000e+00
1.250546956062316895e+01,3.000000000000000000e+02,1.435471747835477458e+02,-3.000000000000000000e+00
1.256969761848449707e+01,3.000000000000000000e+02,1.272476821792774615e+02,-4.000000000000000000e+00
1.263281273841857910e+01,3.000000000000000000e+02,1.262363205302984426e+02,-5.000000000000000000e+00
1.269809889793395996e+01,3.000000000000000000e+02,1.420423009435336041e+02,-5.000000000000000000e+00
1.276132273674011230e+01,3.000000000000000000e+02,1.254812254917565895e+02,-6.000000000000000000e+00
1.282480645179748535e+01,3.000000000000000000e+02,1.412536056558291477e+02,-6.000000000000000000e+00
1.292139291763305664e+01,3.000000000000000000e+02,1.411859951297442421e+02,-6.000000000000000000e+00
1.298508691787719727e+01,3.000000000000000000e+02,1.247339124827799566e+02,-7.000000000000000000e+00
1.304895591735839844e+01,3.000000000000000000e+02,1.403818186799685179e+02,-7.000000000000000000e+00
1.311286950111389160e+01,3.000000000000000000e+02,1.403296225865682061e+02,-7.000000000000000000e+00
1.317731595039367676e+01,3.000000000000000000e+02,1.402769913196563891e+02,-7.000000000000000000e+00
1.324092984199523926e+01,3.000000000000000000e+02,1.566522984868761625e+02,-6.000000000000000000e+00
1.330494689941406250e+01,3.000000000000000000e+02,1.408876496553421305e+02,-6.000000000000000000e+00
1.336945772171020508e+01,3.000000000000000000e+02,1.408424920797348250e+02,-6.000000000000000000e+00
1.343344068527221680e+01,3.000000000000000000e+02,1.407977040052414281e+02,-6.000000000000000000e+00
1.349729871749877930e+01,3.000000000000000000e+02,1.571201906429539292e+02,-5.000000000000000000e+00
1.356130433082580566e+01,3.000000000000000000e+02,1.414231168786684805e+02,-5.000000000000000000e+00
1.362526988983154297e+01,3.000000000000000000e+02,1.577266792576926093e+02,-4.000000000000000000e+00
1.372216606140136719e+01,3.000000000000000000e+02,1.530796778116647658e+02,-3.000000000000000000e+00
1.378519129753112793e+01,3.000000000000000000e+02,1.593113068456146948e+02,-2.000000000000000000e+00
1.384899735450744629e+01,3.000000000000000000e+02,1.434297586560249158e+02,-2.000000000000000000e+00
1.391391491889953613e+01,3.000000000000000000e+02,1.434146112243334414e+02,-2.000000000000000000e+00
1.397739410400390625e+01,3.000000000000000000e+02,1.433997994144757513e+02,-2.000000000000000000e+00
1.404164910316467285e+01,3.000000000000000000e+02,1.596552944080849272e+02,-1.000000000000000000e+00
1.410548806190490723e+01,3.000000000000000000e+02,1.440848551193873277e+02,-1.000000000000000000e+00
1.416949105262756348e+01,3.000000000000000000e+02,1.440773881038030311e+02,-1.000000000000000000e+00
1.423295283317565918e+01,3.000000000000000000e+02,1.440699842294057476e+02,-1.000000000000000000e+00
1.429792785644531250e+01,3.000000000000000000e+02,1.440624038100242785e+02,-1.000000000000000000e+00
1.436156344413757324e+01,3.000000000000000000e+02,1.440549796581268538e+02,-1.000000000000000000e+00
1.442560696601867676e+01,3.000000000000000000e+02,1.440475079139073955e+02,-1.000000000000000000e+00
1.452147531509399414e+01,3.000000000000000000e+02,1.440363232731819494e+02,-1.000000000000000000e+00
1.458556103706359863e+01,3.000000000000000000e+02,1.440288466056188383e+02,-1.000000000000000000e+00
1.464885115623474121e+01,3.000000000000000000e+02,1.440214627583821994e+02,-1.000000000000000000e+00
1.471292066574096680e+01,3.000000000000000000e+02,1.440139879822731359e+02,-1.000000000000000000e+00
1.477680301666259766e+01,3.000000000000000000e+02,1.276453062832369625e+02,-2.000000000000000000e+00
1.484147024154663086e+01,3.000000000000000000e+02,1.432839930812518219e+02,-2.000000000000000000e+00
1.490549612045288086e+01,3.000000000000000000e+02,1.269428995622428431e+02,-3.000000000000000000e+00
1.496925926208496094e+01,3.000000000000000000e+02,1.425392669240634120e+02,-3.000000000000000000e+00
1.503331160545349121e+01,3.000000000000000000e+02,1.425168486038844264e+02,-3.000000000000000000e+00
1.509694814682006836e+01,3.000000000000000000e+02,1.424945758144061188e+02,-3.000000000000000000e+00
1.516129446029663086e+01,3.000000000000000000e+02,1.424720546046893332e+02,-3.000000000000000000e+00
1.522543764114379883e+01,3.000000000000000000e+02,1.424496044913928188e+02,-3.000000000000000000e+00
1.532133722305297852e+01,3.000000000000000000e+02,1.312772772168491713e+02,-4.000000000000000000e+00
1.538598632812500000e+01,3.000000000000000000e+02,1.416746817708015840e+02,-4.000000000000000000e+00
1.544949650764465332e+01,3.000000000000000000e+02,1.251921267913065776e+02,-5.000000000000000000e+00
1.551339030265808105e+01,3.000000000000000000e+02,1.409003627856573075e+02,-5.000000000000000000e+00
1.557750463485717773e+01,3.000000000000000000e+02,1.408629627585411583e+02,-5.000000000000000000e+00
1.564142036437988281e+01,3.000000000000000000e+02,1.244726207750386067e+02,-6.000000000000000000e+00
1.570536994934082031e+01,3.000000000000000000e+02,1.400734570384026370e+02,-6.000000000000000000e+00
1.576943254470825195e+01,3.000000000000000000e+02,1.400286132216454291e+02,-6.000000000000000000e+00
1.583349585533142090e+01,3.000000000000000000e+02,1.399837689042091995e+02,-6.000000000000000000e+00
1.589773511886596680e+01,3.000000000000000000e+02,1.399388014197350287e+02,-6.000000000000000000e+00
1.596081113815307617e+01,3.000000000000000000e+02,1.564558927721572275e+02,-5.000000000000000000e+00
1.602568960189819336e+01,3.000000000000000000e+02,1.405641613046329041e+02,-5.000000000000000000e+00
1.612155628204345703e+01,3.000000000000000000e+02,1.405082390745481575e+02,-5.000000000000000000e+00
1.618580603599548340e+01,3.000000000000000000e+02,1.567425177946381609e+02,-4.000000000000000000e+00
1.624893951416015625e+01,3.000000000000000000e+02,1.576956159383140061e+02,-3.000000000000000000e+00
1.631349420547485352e+01,3.000000000000000000e+02,1.256352926701430306e+02,-4.000000000000000000e+00
1.637775993347167969e+01,3.000000000000000000e+02,1.573639338592730894e+02,-3.000000000000000000e+00
1.644136762619018555e+01,3.000000000000000000e+02,1.417812779188156753e+02,-3.000000000000000000e+00
1.650536823272705078e+01,3.000000000000000000e+02,1.417588777065277839e+02,-3.000000000000000000e+00
1.656941676139831543e+01,3.000000000000000000e+02,1.417364607214928469e+02,-3.000000000000000000e+00
1.663346695899963379e+01,3.000000000000000000e+02,1.253938162983005640e+02,-4.000000000000000000e+00
1.669767570495605469e+01,3.000000000000000000e+02,1.409766065478325459e+02,-4.000000000000000000e+00
1.676135087013244629e+01,3.000000000000000000e+02,1.409468914707502165e+02,-4.000000000000000000e+00
1.682469177246093750e+01,3.000000000000000000e+02,1.244223557084610263e+02,-5.000000000000000000e+00
1.692116856575012207e+01,3.000000000000000000e+02,1.401536644816399075e+02,-5.000000000000000000e+00
1.698588681221008301e+01,3.000000000000000000e+02,1.401159121712049398e+02,-5.000000000000000000e+00
1.704895329475402832e+01,3.000000000000000000e+02,1.400791233897209622e+02,-5.000000000000000000e+00
1.711347770690917969e+01,3.000000000000000000e+02,1.400414841492971334e+02,-5.000000000000000000e+00
1.717743420600891113e+01,3.000000000000000000e+02,1.400041761914889662e+02,-5.000000000000000000e+00
1.724124932289123535e+01,3.000000000000000000e+02,1.235892373589054500e+02,-6.000000000000000000e+00
1.730495619773864746e+01,3.000000000000000000e+02,1.392149107972781508e+02,-6.000000000000000000e+00
1.736907672882080078e+01,3.000000000000000000e+02,1.554731359351806361e+02,-5.000000000000000000e+00
1.743370580673217773e+01,3.000000000000000000e+02,1.398398068586985801e+02,-5.000000000000000000e+00
1.749745464324951172e+01,3.000000000000000000e+02,1.561966182023093950e+02,-4.000000000000000000e+00
1.756127142906188965e+01,3.000000000000000000e+02,1.568575799701365838e+02,-3.000000000000000000e+00
1.762564921379089355e+01,3.000000000000000000e+02,1.411651893019676720e+02,-3.000000000000000000e+00
1.772158360481262207e+01,3.000000000000000000e+02,1.522665951758197878e+02,-2.000000000000000000e+00
1.778569626808166504e+01,3.000000000000000000e+02,1.418278449892997912e+02,-2.000000000000000000e+00
1.784942197799682617e+01,3.000000000000000000e+02,1.418129756569862536e+02,-2.000000000000000000e+00
1.791342353820800781e+01,3.000000000000000000e+02,1.417980419596036370e+02,-2.000000000000000000e+00
1.797696161270141602e+01,3.000000000000000000e+02,1.417832164088885065e+02,-2.000000000000000000e+00
1.804149770736694336e+01,3.000000000000000000e+02,1.417681579867998778e+02,-2.000000000000000000e+00
1.810545110702514648e+01,3.000000000000000000e+02,1.417532355268796209e+02,-2.000000000000000000e+00
1.816898345947265625e+01,3.000000000000000000e+02,1.417384113113085391e+02,-2.000000000000000000e+00
1.823319506645202637e+01,3.000000000000000000e+02,1.254424288593112351e+02,-3.000000000000000000e+00
1.829695653915405273e+01,3.000000000000000000e+02,1.246027298411680704e+02,-4.000000000000000000e+00
1.836169362068176270e+01,3.000000000000000000e+02,1.402559712568918826e+02,-4.000000000000000000e+00
1.842469692230224609e+01,3.000000000000000000e+02,1.402265697161356570e+02,-4.000000000000000000e+00
1.852154302597045898e+01,3.000000000000000000e+02,1.401813748677571709e+02,-4.000000000000000000e+00
1.858575820922851562e+01,3.000000000000000000e+02,1.401514077822367312e+02,-4.000000000000000000e+00
1.864895701408386230e+01,3.000000000000000000e+02,1.401219150066375789e+02,-4.000000000000000000e+00
1.871325373649597168e+01,3.000000000000000000e+02,1.400919098695119374e+02,-4.000000000000000000e+00
1.877694463729858398e+01,3.000000000000000000e+02,1.564704479592617474e+02,-3.000000000000000000e+00
1.884224510192871094e+01,3.000000000000000000e+02,1.567682079979063872e+02,-2.000000000000000000e+00
1.890540862083435059e+01,3.000000000000000000e+02,1.414396431247393764e+02,-2.000000000000000000e+00
1.896928024291992188e+01,3.000000000000000000e+02,1.414247397462527545e+02,-2.000000000000000000e+00
1.903356480598449707e+01,3.000000000000000000e+02,1.414097400148710335e+02,-2.000000000000000000e+00
1.909688377380371094e+01,3.000000000000000000e+02,1.578954087288204846e+02,-1.000000000000000000e+00
1.916134500503540039e+01,3.000000000000000000e+02,1.420948323249817804e+02,-1.000000000000000000e+00
1.922508549690246582e+01,3.000000000000000000e+02,1.420873959342639523e+02,-1.000000000000000000e+00
1.932127737998962402e+01,3.000000000000000000e+02,1.420761735479037782e+02,-1.000000000000000000e+00
1.938584208488464355e+01,3.000000000000000000e+02,1.582645119771736404e+02,0.000000000000000000e+00
1.944911789894104004e+01,3.000000000000000000e+02,1.592873824317620119e+02,1.000000000000000000e+00
1.951281142234802246e+01,3.000000000000000000e+02,1.598986009658943317e+02,2.000000000000000000e+00
1.957803010940551758e+01,3.000000000000000000e+02,1.442136352419854006e+02,2.000000000000000000e+00
1.964179396629333496e+01,3.000000000000000000e+02,1.606188182278212651e+02,3.000000000000000000e+00
1.970496201515197754e+01,3.000000000000000000e+02,1.449580614089966559e+02,3.000000000000000000e+00
1.976933169364929199e+01,3.000000000000000000e+02,1.449805907964707217e+02,3.000000000000000000e+00
1.983294868469238281e+01,3.000000000000000000e+02,1.450028567433357978e+02,3.000000000000000000e+00
1.989744877815246582e+01,3.000000000000000000e+02,1.450254317760468155e+02,3.000000000000000000e+00
1.996124863624572754e+01,3.000000000000000000e+02,1.450477617263794627e+02,3.000000000000000000e+00
2.002478671073913574e+01,3.000000000000000000e+02,1.121779851794906904e+02,1.000000000000000000e+00
2.012174272537231445e+01,3.000000000000000000e+02,1.436664860367775418e+02,1.000000000000000000e+00
2.018569731712341309e+01,3.000000000000000000e+02,1.273303921673671226e+02,0.000000000000000000e+00
2.024891757965087891e+01,3.000000000000000000e+02,1.429664860367775532e+02,0.000000000000000000e+00
2.031339025497436523e+01,3.000000000000000000e+02,1.267485174348717862e+02,-1.000000000000000000e+00
2.037733578681945801e+01,3.000000000000000000e+02,1.422515039126078875e+02,-1.000000000000000000e+00
2.044094085693359375e+01,3.000000000000000000e+02,1.422440833210945641e+02,-1.000000000000000000e+00
2.050495696067810059e+01,3.000000000000000000e+02,1.422366147756576993e+02,-1.000000000000000000e+00
2.056933450698852539e+01,3.000000000000000000e+02,1.422291040619214755e+02,-1.000000000000000000e+00
2.063339471817016602e+01,3.000000000000000000e+02,1.422216303706169640e+02,-1.000000000000000000e+00
2.069691109657287598e+01,3.000000000000000000e+02,1.422142201264699679e+02,-1.000000000000000000e+00
2.076109600067138672e+01,3.000000000000000000e+02,1.422067318876584636e+02,-1.000000000000000000e+00
2.082529902458190918e+01,3.000000000000000000e+02,1.421992415348688894e+02,-1.000000000000000000e+00
